color;code;ColorImgUrl
"цвет не указан";cvet_ne_ukazan;http://feed.p5s.ru/images/color/1.jpeg
бежевый;bezhevyj;http://feed.p5s.ru/images/color/299.jpeg
"бежевый меланж";bezhevyj_melanzh;http://feed.p5s.ru/images/color/530.jpeg
"бежевый с белым";bezhevyj_s_belym;http://feed.p5s.ru/images/color/546.jpeg
"бежевый с голубым";bezhevyj_s_golubym;http://feed.p5s.ru/images/color/514.jpeg
"бежевый с красным";bezhevyj_s_krasnym;http://feed.p5s.ru/images/color/533.jpeg
"бежевый с розовым";bezhevyj_s_rozovym;http://feed.p5s.ru/images/color/535.png
белый;belyj;http://feed.p5s.ru/images/color/17.jpeg
"белый с голубым";belyj_s_golubym;http://feed.p5s.ru/images/color/301.jpeg
"белый с желтым";belyj_s_zheltym;http://feed.p5s.ru/images/color/228.jpeg
"белый с зеленым";belyj_s_zelenym;http://feed.p5s.ru/images/color/373.jpeg
"белый с золотистым";belyj_s_zolotistym;http://feed.p5s.ru/images/color/473.jpeg
"белый с красным";belyj_s_krasnym;http://feed.p5s.ru/images/color/31.jpeg
"белый с розовым";belyj_s_rozovym;http://feed.p5s.ru/images/color/29.png
"белый с серебристым";belyj_s_serebristym;http://feed.p5s.ru/images/color/452.jpeg
"белый с серым";belyj_s_serym;http://feed.p5s.ru/images/color/490.jpeg
"белый с синим";belyj_s_sinim;http://feed.p5s.ru/images/color/480.jpeg
"белый с черным";belyj_s_chernym;http://feed.p5s.ru/images/color/22.jpeg
бирюзовый;biryuzovyj;http://feed.p5s.ru/images/color/262.jpeg
"бирюзовый с черным";biryuzovyj_s_chernym;http://feed.p5s.ru/images/color/540.jpeg
бордовый;bordovyj;http://feed.p5s.ru/images/color/77.jpeg
бронзовый;bronzovyj;http://feed.p5s.ru/images/color/387.jpeg
голубой;goluboj;http://feed.p5s.ru/images/color/433.jpeg
"голубой с белым";goluboj_s_belym;http://feed.p5s.ru/images/color/32.jpeg
"голубой с зеленым";goluboj_s_zelenym;http://feed.p5s.ru/images/color/539.jpeg
"голубой с оранжевым";goluboj_s_oranzhevym;http://feed.p5s.ru/images/color/509.jpeg
"голубой с розовым";goluboj_s_rozovym;http://feed.p5s.ru/images/color/394.jpeg
"голубой с синим";goluboj_s_sinim;http://feed.p5s.ru/images/color/536.jpeg
"голубой с черным";goluboj_s_chernym;http://feed.p5s.ru/images/color/338.jpeg
грязно-розовый;gryazno-rozovyj;http://feed.p5s.ru/images/color/532.jpeg
грязно-синий;gryazno-sinij;http://feed.p5s.ru/images/color/531.jpeg
дымчатый;dymchatyj;http://feed.p5s.ru/images/color/404.jpeg
желтый;zheltyj;http://feed.p5s.ru/images/color/23.jpeg
"желтый с оранжевым";zheltyj_s_oranzhevym;http://feed.p5s.ru/images/color/552.jpeg
"желтый с синим";zheltyj_s_sinim;http://feed.p5s.ru/images/color/430.jpeg
зебра;zebra;http://feed.p5s.ru/images/color/260.jpeg
"зеленая шотландка";zelenaya_shotlandka;http://feed.p5s.ru/images/color/478.jpeg
зеленый;zelenyj;http://feed.p5s.ru/images/color/46.jpeg
"зеленый камуфляж";zelenyj_kamuflyazh;http://feed.p5s.ru/images/color/158.jpeg
"зеленый с желтым";zelenyj_s_zheltym;http://feed.p5s.ru/images/color/513.jpeg
"зеленый с оранжевым";zelenyj_s_oranzhevym;http://feed.p5s.ru/images/color/549.jpeg
"зеленый с серым";zelenyj_s_serym;http://feed.p5s.ru/images/color/498.jpeg
"зеленый с черным";zelenyj_s_chernym;http://feed.p5s.ru/images/color/360.jpeg
золотистый;zolotistyj;http://feed.p5s.ru/images/color/396.jpeg
"золотистый с черным";zolotistyj_s_chernym;http://feed.p5s.ru/images/color/371.jpeg
изумрудный;izumrudnyj;http://feed.p5s.ru/images/color/342.jpeg
коралловый;korallovyj;http://feed.p5s.ru/images/color/321.jpeg
коричневый;korichnevyj;http://feed.p5s.ru/images/color/49.jpeg
"коричневый с бежевым";korichnevyj_s_bezhevym;http://feed.p5s.ru/images/color/538.jpeg
"коричневый с оранжевым";korichnevyj_s_oranzhevym;http://feed.p5s.ru/images/color/515.jpeg
кофейный;kofejnyj;http://feed.p5s.ru/images/color/403.jpeg
"красная шотландка";krasnaya_shotlandka;http://feed.p5s.ru/images/color/438.jpeg
красный;krasnyj;http://feed.p5s.ru/images/color/9.jpeg
"красный с белым";krasnyj_s_belym;http://feed.p5s.ru/images/color/21.jpeg
"красный с серым";krasnyj_s_serym;http://feed.p5s.ru/images/color/488.jpeg
"красный с синим";krasnyj_s_sinim;http://feed.p5s.ru/images/color/518.jpeg
"красный с черным";krasnyj_s_chernym;http://feed.p5s.ru/images/color/33.jpeg
кремовый;kremovyj;http://feed.p5s.ru/images/color/454.jpeg
"кремовый с черным";kremovyj_s_chernym;http://feed.p5s.ru/images/color/548.jpeg
лаймовый;lajmovyj;http://feed.p5s.ru/images/color/363.jpeg
леопард;leopard;http://feed.p5s.ru/images/color/14.jpeg
лиловый;lilovyj;http://feed.p5s.ru/images/color/306.jpeg
малиновый;malinovyj;http://feed.p5s.ru/images/color/369.jpeg
"малиновый с чёрным";malinovyj_s_chyornym;http://feed.p5s.ru/images/color/486.jpeg
молочный;molochnyj;http://feed.p5s.ru/images/color/311.jpeg
мятный;myatnyj;http://feed.p5s.ru/images/color/320.jpeg
"мятный с голубым";myatnyj_s_golubym;http://feed.p5s.ru/images/color/553.jpeg
нежно-голубой;nezhno-goluboj;http://feed.p5s.ru/images/color/26.jpeg
нежно-розовый;nezhno-rozovyj;http://feed.p5s.ru/images/color/368.jpeg
"нежно-розовый с черным";nezhno-rozovyj_s_chernym;http://feed.p5s.ru/images/color/422.jpeg
оливковый;olivkovyj;http://feed.p5s.ru/images/color/526.jpeg
оранжевый;oranzhevyj;http://feed.p5s.ru/images/color/261.jpeg
"оранжевый с желтым";oranzhevyj_s_zheltym;http://feed.p5s.ru/images/color/547.jpeg
"оранжевый с розовым";oranzhevyj_s_rozovym;http://feed.p5s.ru/images/color/551.jpeg
"оранжевый с черным";oranzhevyj_s_chernym;http://feed.p5s.ru/images/color/165.jpeg
персиковый;persikovyj;http://feed.p5s.ru/images/color/318.jpeg
"персиковый с белым";persikovyj_s_belym;http://feed.p5s.ru/images/color/499.jpeg
"персиковый с серым";persikovyj_s_serym;http://feed.p5s.ru/images/color/556.jpeg
"персиковый с черным";persikovyj_s_chernym;http://feed.p5s.ru/images/color/501.jpeg
прозрачный;prozrachnyj;http://feed.p5s.ru/images/color/47.jpeg
пудровый;pudrovyj;http://feed.p5s.ru/images/color/544.jpeg
разноцветный;raznocvetnyj;http://feed.p5s.ru/images/color/55.jpeg
"розовая шотландка";rozovaya_shotlandka;http://feed.p5s.ru/images/color/435.jpeg
розовый;rozovyj;http://feed.p5s.ru/images/color/11.png
"розовый леопард";rozovyj_leopard;http://feed.p5s.ru/images/color/397.jpeg
"розовый с белым";rozovyj_s_belym;http://feed.p5s.ru/images/color/362.png
"розовый с красным";rozovyj_s_krasnym;http://feed.p5s.ru/images/color/357.png
"розовый с серым";rozovyj_s_serym;http://feed.p5s.ru/images/color/502.jpeg
"розовый с синим";rozovyj_s_sinim;http://feed.p5s.ru/images/color/493.png
"розовый с черным";rozovyj_s_chernym;http://feed.p5s.ru/images/color/319.png
салатовый;salatovyj;http://feed.p5s.ru/images/color/366.jpeg
светло-бордовый;svetlo-bordovyj;http://feed.p5s.ru/images/color/492.jpeg
светло-серый;svetlo-seryj;http://feed.p5s.ru/images/color/477.jpeg
"светло-серый с серым";svetlo-seryj_s_serym;http://feed.p5s.ru/images/color/541.jpeg
"серая шотландка";seraya_shotlandka;http://feed.p5s.ru/images/color/482.jpeg
серебристый;serebristyj;http://feed.p5s.ru/images/color/51.jpeg
"серебристый с черным";serebristyj_s_chernym;http://feed.p5s.ru/images/color/398.jpeg
серый;seryj;http://feed.p5s.ru/images/color/291.jpeg
"серый камуфляж";seryj_kamuflyazh;http://feed.p5s.ru/images/color/432.jpeg
"серый леопард";seryj_leopard;http://feed.p5s.ru/images/color/483.jpeg
"серый меланж";seryj_melanzh;http://feed.p5s.ru/images/color/542.jpeg
"серый с белым";seryj_s_belym;http://feed.p5s.ru/images/color/485.jpeg
"серый с голубым";seryj_s_golubym;http://feed.p5s.ru/images/color/522.jpeg
"серый с жёлтым";seryj_s_zhyoltym;http://feed.p5s.ru/images/color/489.jpeg
"серый с зеленым";seryj_s_zelenym;http://feed.p5s.ru/images/color/555.jpeg
"серый с красным";seryj_s_krasnym;http://feed.p5s.ru/images/color/505.jpeg
"серый с персиковым";seryj_s_persikovym;http://feed.p5s.ru/images/color/503.jpeg
"серый с розовым";seryj_s_rozovym;http://feed.p5s.ru/images/color/380.jpeg
"серый с синим";seryj_s_sinim;http://feed.p5s.ru/images/color/481.jpeg
"серый с чёрным";seryj_s_chyornym;http://feed.p5s.ru/images/color/519.jpeg
синий;sinij;http://feed.p5s.ru/images/color/48.jpeg
"синий камуфляж";sinij_kamuflyazh;http://feed.p5s.ru/images/color/524.jpeg
"синий с бежевым";sinij_s_bezhevym;http://feed.p5s.ru/images/color/516.jpeg
"синий с белым";sinij_s_belym;http://feed.p5s.ru/images/color/312.jpeg
"синий с голубым";sinij_s_golubym;http://feed.p5s.ru/images/color/491.jpeg
"синий с желтым";sinij_s_zheltym;http://feed.p5s.ru/images/color/550.jpeg
"синий с зеленым";sinij_s_zelenym;http://feed.p5s.ru/images/color/506.jpeg
"синий с красным";sinij_s_krasnym;http://feed.p5s.ru/images/color/462.jpeg
"синий с нежно-голубым";sinij_s_nezhno-golubym;http://feed.p5s.ru/images/color/554.jpeg
"синий с оранжевым";sinij_s_oranzhevym;http://feed.p5s.ru/images/color/510.jpeg
"синий с розовым";sinij_s_rozovym;http://feed.p5s.ru/images/color/511.png
