vendorID;title;description;country;descr_type
721;Private;;Испания;html
723;Winyi;;Китай;html
724;Yuanse;;Австрия;html
725;"ML Creation";;Австрия;html
726;Iyiqu;;Австрия;html
733;Trikozza;;Россия;html
747;Bayan;;Россия;html
748;Рудез;;Россия;html
749;Likato;;Россия;html
750;3M;;США;html
751;"Spray Guard";;Россия;html
752;Titan;;Россия;html
753;"Erotic Hard";;Россия;html
754;Torex;;Россия;html
755;Гладиатор;;Россия;html
756;"Rubber Tech Ltd";;Китай;html
757;"CleanCare Family";;Россия;html
759;Strap-on-me;;Китай;html
760;aixiASIA;;Китай;html
761;Roomfun;;Китай;html
763;"Magic Eyes";;Китай;html
764;Bushmin;;Россия;html
765;"Fun games";;Россия;html
767;Freedom;;Германия;html
768;Тюльпан;;Россия;html
769;MAT;;Польша;html
770;"Devil & Angel";;Россия;html
771;Pegasus;;США;html
772;TTights;;Россия;html
773;Ailighter;;Китай;html
774;Сosmopolitan;;Китай;html
776;Marilyn;;Польша;html
777;"Toyfa Basic";"<p>Basic - самая большая, если говорить о количестве товаров, коллекция из всех от ToyFa. В ней собраны разнообразные и очень популярные у покупателей секс-игрушки: от приятных на ощупь вагинальных шариков на мягкой сцепке до металлических наручников с меховой опушкой, от классических анальных пробок до реалистичных вибромассажёров. С Basic любая пара сможет с лёгкостью создать свою коллекцию интимных аксессуаров для потрясающего секса. Благодаря разнообразию материалов даже покупатели с взыскательным вкусом без труда выберут товар, удовлетворяющий запросам на все 100%.</p>";Китай;html
778;"Dres Kod";;Польша;html
779;AMOR;;Германия;html
780;"Love to Love";;Китай;html
782;Doxy;;Великобритания;html
783;Arcwave;;США;html
785;PatriceM;;Россия;html
786;ROMP;;Германия;html
787;PHEROLAB;;Россия;html
788;Unbound;;США;html
789;"Amor El";;Испания;html
